Humidity, Temperature,Heat Index, LightIntensity,Go Out
26,15,25.08069688, There is sufficient light :298,no
24,16,24.14918045, There is sufficient light :305,no
25,15,24.76004186, There is sufficient light :320,no
26,16,24.70952533, There is sufficient light :308,no
27,16,24.9724944, There is sufficient light :299,no
26,16,24.70952533, There is sufficient light :314,no
23,17,23.69630444, There is sufficient light :316,no
21,19,23.22995567, There is sufficient light :300,yes
27,19,24.26158386, There is sufficient light :305,yes
20,22,23.7189804, There is sufficient light :318,yes
19,26,25.45553339, There is sufficient light :305,yes
17,27,26.00773349, There is sufficient light :302,yes
17,28,26.67890105, There is sufficient light :316,yes
16,30,28.15134626, There is sufficient light :314,yes
16,30,28.15134626, There is sufficient light :300,yes
16,30,28.15134626, There is sufficient light :557,yes
15,31,28.94680973, There is sufficient light :318,yes
15,32,29.79359356, There is sufficient light :299,yes
15,33,30.68050126, There is sufficient light :302,yes
14,34,31.56126692, There is sufficient light :318,yes
15,34,31.60753283, There is sufficient light :311,yes
14,34,31.56126692, There is sufficient light :300,yes
13,35,32.45058466, There is sufficient light :318,yes
13,36,33.4096464, There is sufficient light :314,yes
13,36,33.4096464, There is sufficient light :299,yes
15,31,28.94680973, There is sufficient light :318,yes
13,35,32.45058466, There is sufficient light :309,yes
12,37,34.30243432, There is sufficient light :302,yes
14,35,32.50805814, There is sufficient light :321,yes
13,35,32.45058466, There is sufficient light :300,yes
18,34,31.79553083, There is sufficient light :318,yes
15,31,28.94680973, There is sufficient light :302,yes
15,32,29.79359356, There is sufficient light :309,yes
15,32,29.79359356, There is sufficient light :309,yes
15,31,28.94680973, There is sufficient light :303,yes
16,30,28.15134626, There is sufficient light :319,yes
16,30,28.15134626, There is sufficient light :298,yes
18,31,29.00967785, There is sufficient light :319,yes
16,29,27.38449625, There is sufficient light :307,yes
19,29,27.43635653, There is sufficient light :305,yes
13,35,32.45058466, There is sufficient light :316,yes
14,34,31.56126692, There is sufficient light :301,yes
16,30,28.15134626, There is sufficient light :318,yes
22,30,28.30736236, There is sufficient light :308,yes
14,34,31.56126692, There is sufficient light :301,yes
14,34,31.56126692, There is sufficient light :317,yes
16,30,28.15134626, There is sufficient light :299,yes
16,30,28.15134626, There is sufficient light :304,yes
17,28,26.67890105, There is sufficient light :312,yes
19,30,28.21031776, There is sufficient light :294,yes
17,33,30.76242341, There is sufficient light :307,yes
14,33,30.65038385, There is sufficient light :315,yes
16,35,32.65047506, There is sufficient light :293,yes
13,35,32.45058466, There is sufficient light :308,yes
16,30,28.15134626, There is sufficient light :313,yes
21,30,28.27078381, There is sufficient light :296,yes
17,27,26.00773349, There is sufficient light :310,yes
17,27,26.00773349, There is sufficient light :311,yes
18,25,24.86046764, There is sufficient light :297,yes
18,25,24.86046764, There is sufficient light :316,yes
19,23,23.98630106, There is sufficient light :305,yes
19,23,23.98630106, There is sufficient light :303,yes
22,23,24.22896134, There is sufficient light :319,yes
20,22,23.7189804, There is sufficient light :300,yes
20,22,23.7189804, There is sufficient light :307,yes
19,23,23.98630106, There is sufficient light :314,yes
22,23,24.22896134, There is sufficient light :294,yes
19,24,24.41920175, There is sufficient light :314,yes
19,24,24.41920175, There is sufficient light :304,yes
19,23,23.98630106, There is sufficient light :295,yes
20,22,23.7189804, There is sufficient light :314,yes
20,22,23.7189804, There is sufficient light :304,yes
23,22,24.01880942, There is sufficient light :298,yes
20,22,23.7189804, There is sufficient light :313,yes
19,24,24.41920175, There is sufficient light :317,yes
19,24,24.41920175, There is sufficient light :301,yes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
